MATRICULA,MARCA,MODELO,YEAR,PRECIO,KM,CV,COMBUSTIBLE,ETIQUETA,MOTOR
AUDI A1 2015,AUDI,A1 Adrenalin,2015,7999,219000,86,Gasolina,C,1.2 TFSI
AUDI A3 2011,AUDI,A3,2011,6990,217000,105,Diesel,B,1.6 TDI
AUDI A3 2014,AUDI,A3,2014,9500,185000,104,Diesel,C,1.6 TDI
9356DZS,AUDI,A3,2006,4500,257998,105,Diesel,B,1.9 TDI
2037LJS,AUDI,Q5,2019,16990,327000,190,Diesel,C,2.0 TDI quattro
BMW X3 2013,BMW,X3,2013,9990,297850,184,Diesel,B,2.0d xDrive
bmw x3,BMW,X3,2004,6990,181000,150,Diesel,B,2.0d
CITROEN C3 2009,CITROEN,C3,2009,3350,188000,70,Diesel,B,1.4 HDi
CITROEN C4 PICASSO 2009,CITROEN,C4 Picasso,2009,5500,133000,120,Gasolina,C,1.6 VTi
8773FZS,CITROEN,C4 Picasso,2008,5500,108000,110,Diesel,B,1.6 HDi
0165FHR,FIAT,Punto,2006,2900,182000,95,Gasolina,C,1.4 16v Starjet
FIAT SCUDO 2015,FIAT,Scudo,2015,9500,169000,90,Diesel,B,1.6 Multijet
FORD CMAX 2009,FORD,C-MAX,2009,4800,159800,90,Diesel,B,1.6 TDCi
6300GKF,FORD,C-MAX,2009,4999,125100,90,Diesel,B,1.6 TDCi
FORD FUSION,FORD,Fusion,2011,4300,155998,80,Gasolina,C,1.4i
1565HGT,FORD,Kuga,2011,7999,188999,140,Diesel,B,2.0 TDCi
2102JDY,FORD,S-MAX,2015,9999,165200,140,Diesel,C,2.0 TDCi
6880HRW,FORD,Tourneo Connect,2013,6300,209000,90,Diesel,B,1.8 TDCi
HONDA CIVIC 2012,HONDA,Civic,2012,7900,206000,120,Diesel,B,1.6 i-DTEC
HONDA CRV 2016,HONDA,CR-V,2016,14900,129000,120,Diesel,C,1.6 i-DTEC
MERCEDES C200 2010,MERCEDES,Clase C,2010,8500,190699,136,Diesel,B,2.2 CDI
MERCEDES ML 320CDI 2005,MERCEDES,Clase M,2005,10500,176000,224,Diesel,B,3.0 V6 CDI
MERCEDES ML 320CDI 2010,MERCEDES,Clase M,2010,9500,298000,224,Diesel,B,3.0 V6 CDI
MINI 2018,MINI,Mini,2018,12900,144000,136,Gasolina,C,1.5 Cooper
2264DBH,MINI,Mini,2004,5999,80200,115,Gasolina,B,1.6i Cooper
mitsubishi outlander,MITSUBISHI,Outlander,2012,8700,202300,150,Diesel,B,2.2 DI-D
nissan evalia,NISSAN,Evalia,2012,11500,152000,110,Diesel,B,1.5 dCi
NISSAN NV200 ISOTERMO,NISSAN,NV200 Isotermo,2013,9500,75000,90,Diesel,B,1.5 dCi
5921HPH,NISSAN,Qashqai,2013,9990,142700,130,Diesel,B,1.6 dCi
OPEL ANTARA 2010,OPEL,Antara,2010,6300,197999,127,Diesel,B,2.0 CDTI
9748DYX,OPEL,Corsa,2006,2500,197000,90,Gasolina,C,1.4 Twinport
6980GLB,OPEL,Corsa,2009,3500,179000,80,Gasolina,C,1.2 16v
7101JYR,OPEL,Meriva,2017,9500,79200,136,Diesel,C,1.6 CDTI
9630GKX,OPEL,Meriva,2009,4800,116000,90,Gasolina,C,1.4 Twinport
1713JBK,OPEL,Mokka,2014,7990,179000,130,Diesel,B,1.7 CDTI
9104DXY,OPEL,Zafira,2006,3900,258000,120,Diesel,B,1.9 CDTI
PEUGEOT 207 2009,PEUGEOT,207 SW,2009,4999,126000,95,Gasolina,C,1.4 VTi
4497HFK,PEUGEOT,207,2011,4200,155000,68,Diesel,B,1.4 HDi
PEUGEOT 307 2006,PEUGEOT,307 CC,2006,4500,115000,136,Diesel,B,2.0 HDi
peugeot 307 2007,PEUGEOT,307 CC,2007,4990,86000,110,Gasolina,C,1.6 16v
9012BNP,PEUGEOT,307,2001,2999,108000,90,Diesel,B,2.0 HDi
PEUGEOT 3008 2015,PEUGEOT,3008,2015,6500,215000,120,Diesel,C,1.6 BlueHDi
peugeot partner,PEUGEOT,Partner,2020,6999,144000,100,Diesel,C,1.5 BlueHDi
8471FRH,RENAULT,Megane,2007,2990,193000,110,Gasolina,C,1.6 16v
4455FTF,SEAT,Altea,2007,5500,179000,105,Diesel,B,1.9 TDI
SEAT ALTEA 8370 HTP,SEAT,Altea,2010,6999,149000,140,Diesel,B,2.0 TDI
seat altea,SEAT,Altea,2013,8500,186000,140,Diesel,B,2.0 TDI
SEAT IBIZA 2017,SEAT,Ibiza,2017,8900,186000,115,Gasolina,C,1.0 TSI
SEAT LEON 2012,SEAT,Leon,2012,9500,143000,125,Gasolina,C,1.4 TSI
5808FTS,SEAT,Leon,2007,6500,231000,170,Diesel,B,2.0 TDI FR
5138BRL,VW,Golf,2001,3499,156000,115,Gasolina,B,2.0i
VW GOLF GTD 2011,VW,Golf GTD,2011,9500,240999,170,Diesel,B,2.0 TDI
3143GKW,VW,Tiguan,2009,7999,222000,140,Diesel,B,2.0 TDI
